,author,books
5753,Laura M. Calkins,[46111]
5754,Laura Parkinson,[22482]
5755,Laura Resnick,"[20932, 35148]"
5756,Laura Ries,[33447]
5757,Laura Rosenthal,[24255]
5758,Laura Ruby,[37750]
5759,Laura Schlessinger,"[12069, 46682]"
5760,Laura Thomson,[40540]
5761,Laura Zuccotti,[23300]
5762,Laura van den Berg,[46610]
5763,Laurel Dile King,[46610]
5764,Laurel Lefkow,[15137]
5765,Laurel Thatcher Ulrich,[15594]
5766,Laurel Winter,[40160]
5767,Laurell K. Hamilton,"[15309, 29484, 30224, 30225, 30226, 30227, 30228, 30229, 30230, 30240, 30241, 30242, 30243, 30244, 30245, 30246, 30248, 30271, 30272, 30273, 30274, 30276, 30278, 30279, 30280, 30281, 30282, 30284, 30287, 30288]"
5768,Lauren  Levin,[7453]
5769,Lauren Bacall,[18596]
5770,Lauren Blitzer,[7453]
5771,Lauren Cannon,[10572]
5772,Lauren Haney,[32144]
5773,Lauren Henderson,[33723]
5774,Lauren Na,[29529]
5775,Lauren Slater,"[44505, 46206]"
5776,Lauren Stringer,[43128]
5777,Lauren Weisberger,"[5139, 29547]"
5778,Lauren Willig,[25802]
5779,Laurence L. Brunton,[40012]
5780,Laurence Olivier,[26871]
5781,Laurence Senelick,"[23785, 23788]"
5782,Laurence Sterne,[40604]
5783,Laurence Yep,"[25260, 25268, 25278, 25279, 25282]"
5784,Laurenn McCubbin,[46640]
5785,Laurent Duvault,[26556]
5786,Laurent Genefirt,[32828]
5787,Laurent de Brunhoff,[42408]
5788,Laurie A. Finke,[47173]
5789,Laurie Garrett,"[22126, 46722]"
5790,Laurie Halse Anderson,"[16229, 16230]"
5791,Laurie Notaro,"[7529, 7530, 7531, 7532, 7533, 7534, 7536]"
5792,Laurie R. King,[10305]
5793,Laurie Thompson,"[39792, 39795, 39797, 39801]"
5794,Laurie Wertz,"[26841, 26842]"
5795,Laury Magnus,"[19163, 19171]"
5796,Lavigne,[5766]
5797,Lavinia Derwent,[46901]
5798,Lavonne Neff,[44399]
5799,Lawrence Block,"[214, 31476, 39501, 39503, 39505, 39506, 39507, 39508, 39509, 39510]"
5800,Lawrence C. Connolly,[28530]
5801,Lawrence Di Fiori,[24893]
5802,Lawrence Durrell,"[13033, 13035, 13037, 13039, 27253, 35987, 35988, 46249, 46252]"
5803,Lawrence Ferlinghetti,"[5931, 39690]"
5804,Lawrence Lessig,[44954]
5805,Lawrence Lipking,"[47163, 47168, 47174]"
5806,Lawrence M. Elson,[45837]
5807,Lawrence M. Friedman,[7139]
5808,Lawrence M. Krauss,[2104]
5809,Lawrence M. Lasher,"[3070, 32540]"
5810,Lawrence Otis Graham,"[3403, 3404]"
5811,Lawrence R. Broer,"[4983, 23491]"
5812,Lawrence Raab,[39690]
5813,Lawrence Rainey,[34081]
5814,Lawrence S. Ritter,[31253]
5815,Lawrence Sanders,"[43661, 43666, 43668, 43669, 43673, 43675, 43678]"
5816,Lawrence Scanlan,[8515]
5817,Lawrence Schimel,"[14002, 20932, 28468, 29185]"
5818,Lawrence Sutin,"[14184, 22587]"
5819,Lawrence Venuti,[46775]
5820,Lawrence Vogel,[8214]
5821,Lawrence Watt,"[22265, 28468, 35924, 38717, 47530]"
5822,Lawson Glassop,[42619]
5823,Le Ly Hayslip,"[5728, 5729, 5732]"
5824,Leah Bendavid,[9099]
5825,Leah D. Janeczko,"[10546, 23300]"
5826,Leah Wilson,"[22265, 33753, 47530]"
5827,Leanne Banks,[31345]
5828,Leanne M. Olds,[39093]
5829,Lee    Harrington,[46610]
5830,Lee Adams,[7488]
5831,Lee Baxandall,[38762]
5832,Lee Charles Kelley,"[39819, 39820, 39822, 39823]"
5833,Lee Chi,[29497]
5834,Lee Child,"[21725, 21735, 21739, 21742, 21743, 21745, 21746, 21747, 21749, 21751, 21752, 21753, 21756, 21757, 21758, 21759, 21763, 21764, 33672, 46602]"
5835,Lee Epstein,[22431]
5836,Lee Fahnestock,[24280]
5837,Lee Fukui,[1815]
5838,Lee Loughridge,"[23753, 39444]"
5839,Lee Nelson,[2952]
5840,Lee Patterson,[47162]
5841,Lee Seldes,[13314]
5842,Lee Stringer,[9599]
5843,Lee Strobel,[44436]
5844,Lee Yun,"[29498, 29500]"
5845,Legs McNeil,[14595]
5846,Leif Enger,[24160]
5847,Leigh Eddings,"[18880, 18884]"
5848,Leigh Nichols,"[21323, 32427, 32428, 32433, 32443, 32453]"
5849,Leiko Gotoda,[34450]
5850,Leil Lowndes,[35210]
5851,Leila Vennewitz,[5957]
5852,Leinil Francis Yu,"[8172, 22365]"
5853,Leland S. Person,[12298]
5854,Len Cariou,"[21538, 21539]"
5855,Len Morgan,[16848]
5856,Len Wein,[16987]
5857,Len Wiseman,"[33024, 33030]"
5858,Lena Tabori,[37424]
5859,Lennard Zinn,[14093]
5860,Lennart Hellsing,[30786]
5861,Leo Bersani,[2688]
5862,Leo Dillon,[9632]
5863,Leo Kottke,[45472]
5864,Leo Rauch,[25245]
5865,Leo Strauss,[31871]
5866,Leo Tolstoy,"[151, 152, 153, 154, 155, 156, 157, 655, 656, 658, 5685, 5696, 12419, 14313, 17697, 17698, 17883, 18240, 18241, 18243, 18245, 18384, 18385, 42641, 44446]"
5867,Leon A. Edney,[19681]
5868,Leon Breedt,"[45, 46084]"
5869,Leon Edel,[20677]
5870,Leon H. Charney,[47181]
5871,Leon J. Wood,[46962]
5872,Leon Sciaky,[14492]
5873,Leon Stover,[29965]
5874,Leon Uris,"[34869, 42691, 42692, 42693, 42694, 42695, 42697]"
5875,Leon Wieseltier,[2725]
5876,Leona Nevler,[42819]
5877,Leonard  Orr,[29726]
5878,Leonard B. Lubin,"[24703, 24704]"
5879,Leonard Baskin,"[16961, 27413]"
5880,Leonard Cottrell,[40010]
5881,Leonard Goldberg,[47008]
5882,Leonard J. Kent,[19103]
5883,Leonard Koren,[42190]
5884,Leonard Maltin,[6677]
5885,Leonard Michaels,[3914]
5886,Leonard Mlodinow,"[2094, 17356, 45776, 45777]"
5887,Leonard Mustazza,"[4983, 23491]"
5888,Leonard Peikoff,"[662, 668, 670, 2113, 2122, 9362]"
5889,Leonard Richardson,[141]
5890,Leonard S. Marcus,"[29285, 36665, 40145]"
5891,Leonard Schapiro,[28462]
5892,Leonard Stanton,[7138]
5893,Leonard Sweet,"[14389, 43979, 44439]"
5894,Leonard Tancock,[18217]
5895,Leonard W. Shortall,[14656]
5896,Leonard Wibberley,"[34643, 37151, 37154]"
5897,Leonard Wolf,[35255]
5898,Leonard Woolf,"[14948, 18834]"
5899,Leonardo Padura,[10783]
5900,Leonardo da Vinci,"[24096, 40128, 40132]"
5901,Leonid Andreyev,[44446]
5902,Leonor Tejada Conde,[11005]
5903,Leonora Carrington,[46987]
5904,Leonora Cohen Rosenfield,[29904]
5905,Leonore Fleischer,[43076]
5906,Lera Miles,[40259]
5907,Lerner Publishing Group,[42854]
5908,Lerone Bennett Jr.,"[4824, 4829]"
5909,Leroy Satchel Paige,[31253]
5910,Les Beletsky,[15826]
5911,Les Firbank,[7277]
5912,Les Parrott III,[19844]
5913,Les Standiford,"[13069, 16007]"
5914,Lesley Glaister,[13180]
5915,Lesley Lipson,[29054]
5916,Lesley McBain,[13832]
5917,Lesley McCave,[46127]
5918,Lesley Milne,[47314]
5919,Leslie A.  Kelly,[38650]
5920,Leslie Busler,[46610]
5921,Leslie Gross Portney,[29584]
5922,Leslie Kelly,"[511, 8738]"
5923,Leslie S. Klinger,"[3582, 3583]"
5924,Leslie Tryon,[35835]
5925,Leslie What,[20001]
5926,Lester Dent,[9802]
5927,Lester del Rey,"[34939, 40888]"
5928,Let's Go Inc.,[38242]
5929,Lev Manovich,[2753]
5930,Lew Nichols,[28004]
5931,Lew Richmond,[41464]
5932,Lewis,"[1405, 6273, 24517]"
5933,Lewis B. Namier,[36361]
5934,Lewis Carroll,"[13023, 13025, 13028, 13237, 13238, 17722, 17723, 24213, 24215, 24217, 24218, 24220, 24221, 37700, 38686]"
5935,Lewis Nordan,[46137]
5936,Lewis Perdue,[22242]
5937,Li Bai,"[5989, 6008]"
5938,Li Ho,[6008]
5939,Li Shang,[6008]
5940,Lia Matera,[32609]
5941,Liam Callanan,[6795]
5942,Liao Yanping,[45966]
5943,Libba Bray,[3682]
5944,Libby Keatinge,[99]
5945,Library Company of Philadelphia,[24597]
5946,Lidia Matticchio Bastianich,"[22966, 22967, 22969]"
5947,Liesl Mueller,[39690]
5948,Life Books,"[4746, 19613, 19617, 19620, 19621, 21143]"
5949,Lilia V. Villanueva,[5735]
5950,Lilian Jackson Braun,"[38436, 42056]"
5951,Lilian Seaton,[42283]
5952,Liliana Valenzuela,[23186]
5953,Lillian Hellman,[30003]
5954,Lillian Hoban,[24904]
5955,Lillian Marvin Swenson,[24971]
5956,Lillian Olsen,[26240]
5957,Lillian de la Torre,[36356]
5958,Lily Owens,[46306]
5959,Lily Trokenberg Hechtman,[28466]
5960,Lin Carter,"[7352, 14691, 15225, 15229, 36316, 36507, 40297]"
5961,Lin Salamo,[2967]
5962,Lina Erkelius,[22748]
5963,Lincoln Child,"[21969, 21972, 21974, 21984, 30068, 33672, 39026, 39027, 39028, 39030, 39031, 39033]"
5964,Linda  Anderson,[33837]
5965,Linda Alchin,[8852]
5966,Linda Asher,"[26093, 26097, 28635, 28636, 28637, 44382]"
5967,Linda Baker,[28530]
5968,Linda Chapman,[19043]
5969,Linda Cloverdale,[29406]
5970,Linda Francis Lee,[41658]
5971,Linda G. Russek,[44941]
5972,Linda Glaser,[43130]
5973,Linda Gregg,[41576]
5974,Linda Hall,[41416]
5975,Linda Howard,[30067]
5976,Linda Jones,[6595]
5977,Linda Lael Miller,"[9497, 12123, 39913, 43618, 43619]"
5978,Linda Lay Shuler,[35349]
5979,Linda Lear,"[19335, 27333, 27344]"
5980,Linda M. Shires,[31465]
5981,Linda Mannheim,[28530]
5982,Linda Medley,[21329]
5983,Linda P. Baker,"[20935, 29185]"
5984,Linda Shaw,[34834]
5985,Linda Sunshine,[13211]
5986,Linda Terheyden,"[8065, 8067]"
5987,Linda Turner,[41376]
5988,Linda Wagner,[26950]
5989,Lindsay Crouse,[43819]
5990,Lindsay Harrison,[6407]
5991,Lindsay Mack,[24028]
5992,Lindsey Davis,"[44229, 44230, 44231]"
5993,Lindsey Fraser,[2000]
5994,Lindsey Johnston,[8991]
5995,Liney Li,[13697]
5996,Lionel Abel,[10037]
5997,Lionel Trilling,"[3100, 9646]"
5998,Lisa Carey,[23700]
5999,Lisa Chaney,[39286]
6000,Lisa Dunford,[40634]
6001,Lisa Falkenstern,[24626]
6002,Lisa Gardner,"[32523, 32527, 32529, 32530]"
6003,Lisa Goldstein,[40281]
6004,Lisa Jackson,"[24473, 41494]"
6005,Lisa Jewell,[33723]
6006,Lisa Loomer,[6511]
6007,Lisa Lowe,[2781]
6008,Lisa Mason,[28468]
6009,Lisa McCourt,"[4963, 4964]"
6010,Lisa Morpurgo,[15954]
6011,Lisa Pentreath,[27626]
6012,Lisa Romerein,[38585]
6013,Lisa S. French,[39969]
6014,Lisa Scottoline,[35752]
6015,Lisa See,"[1103, 24467, 24471, 24472]"
6016,Lisa St. Aubin de Terán,[33464]
6017,Lisa Suttora,[135]
6018,Lisa Trumbauer,[28872]
6019,Lisa Unger,[32872]
6020,Lisa Wheeler,[4606]
6021,Lisa Whelchel,[3806]
6022,Lisanne Norman,[20929]
6023,Lise Albrechtsen,[7277]
6024,Lisette Lecat,[7037]
6025,Livia Reasoner,[28530]
6026,Livy,[40003]
6027,Liz Carlyle,[38928]
6028,Liz Goldwyn,[47095]
6029,Liz Ireland,[31105]
6030,Liz Palika,[40816]
6031,Liz Tuccillo,[10412]
6032,Liz Williams,[32828]
6033,Liza Dalby,[4620]
6034,Lizz Weis,[28511]
6035,Ljiljana Cvekić,"[4693, 4696]"
6036,Lloyd Alexander,"[24779, 24780, 24781, 24782, 24783, 24784, 24785, 24786, 24787, 24788, 26571, 40160]"
6037,Lloyd Biggle Jr.,[40281]
6038,Lloyd P. Gerson,[37231]
6039,Lockhart Bogle,[6483]
6040,Logan Swanson,[33546]
6041,Lois Beckwith,[3491]
6042,Lois H. Gresh,[11601]
6043,Lois Lenski,"[7894, 7899, 7905, 7909, 42410, 42415, 42444, 42447, 42450, 42485, 42570]"
6044,Lois Lowry,"[3636, 4580, 12930, 12931, 12932, 12933, 12934, 12935, 12936, 12937, 47281, 47287]"
6045,Lois N. Magner,[40951]
6046,Lola Vollen,[43419]
6047,Lolita Files,[7611]
6048,Lonely Planet,"[792, 793, 794, 797, 799, 6865, 8693, 10423, 10428, 15731, 19519, 19882, 38241, 40622, 40634, 42079, 42081]"
6049,Lonn Friend,[44634]
6050,Lope de Vega,[42211]
6051,Lora Leigh,"[3852, 37341]"
6052,Loraine Hutchins,[47326]
6053,Loral Dean,[19156]
6054,Lord Byron,[47404]
6055,Lord Dunsany,"[14686, 14688, 14691, 14693, 23596]"
6056,Loree Lough,[36368]
6057,Loree Rackstraw,"[4983, 23491]"
6058,Lorelei King,[6425]
6059,Loren D. Estleman,[43338]
6060,Loren K. Jones,[35479]
6061,Loren L. Coleman,[47099]
6062,Lorenz Frohlich,[46313]
6063,Lorenzo Carcaterra,"[7131, 7197]"
6064,Lorenzo Da Ponte,[39103]
6065,Lori Avocato,[3479]
6066,Lori Foster,[31442]
6067,Lori Fulton,[41576]
6068,Lori Grove,[21248]
6069,Lori Handeland,[30268]
6070,Lori Lansens,[47076]
6071,Lori Lohstoeter,[40106]
6072,Lori McElrath,[33705]
6073,Lorie O'Clare,[3852]
6074,Lorna Landvik,"[16448, 16449, 16450, 16451, 16452]"
6075,Lorna Raver,[22292]
6076,Lorrie Bortner,[32884]
6077,Lorrie Moore,"[4140, 19631, 19633, 19634]"
6078,Lotte H. Eisner,[15012]
6079,Lou Diamond Phillips,[13106]
6080,Lou Marinoff,[30293]
6081,Lou Priolo,[11862]
6082,Lou Schuler,[5534]
6083,Louann Brizendine,[23968]
6084,Louis,[12395]
6085,Louis Auchincloss,[5261]
6086,Louis B. Wright,[7018]
6087,Louis Begley,"[45378, 45382]"
6088,Louis E. Catron,[131]
6089,Louis Iribarne,[28764]
6090,Louis J. Budd,"[2953, 2973, 19377]"
6091,Louis J. Prosperi,[19888]
6092,Louis L'Amour,"[44925, 46583]"
6093,Louis MacNeice,[39690]
6094,Louis Menand,"[18761, 28202]"
6095,Louis P. Pojman,[31822]
6096,Louis Rey,[15698]
6097,Louis S. Glanzman,[19302]
6098,Louis Sachar,"[10065, 15673, 15779, 15782, 15785, 38695, 38705, 38707, 38708, 38709, 38710]"
6099,Louis Slobodkin,"[42337, 42369]"
6100,Louis de Bernières,"[3388, 10701]"
6101,Louisa May Alcott,"[1934, 1935, 1936, 1937, 1946, 1947, 2988, 2989, 14570, 17533, 17544, 17546, 17548, 17550, 17554, 17557, 32408]"
6102,Louise Bagshawe,[33723]
6103,Louise Bates Ames,[10996]
6104,Louise Borden,[12157]
6105,Louise Bostock Lang,[38238]
6106,Louise Carter,[11616]
6107,Louise DeSalvo,[43961]
6108,Louise Fili,[42261]
6109,Louise Fitzhugh,[3741]
6110,Louise M. Bishop,[33581]
6111,Louise Maude,"[156, 656, 42641]"
6112,Louise Varèse,[24601]
6113,Louise Welsh,[46025]
6114,Loung Ung,[4373]
6115,Lourdes Porta,"[11300, 45299]"
6116,Lovern Kindzierski,[35437]
6117,Lovett F. Edwards,[3140]
6118,Lowell Bair,[15638]
6119,Luann Walther,"[11463, 25777]"
6120,Luanne Rice,[7505]
6121,Luc Sante,"[431, 44147]"
6122,Lucas Carlson,[141]
6123,Luce Irigaray,[22689]
6124,Luci Berkowitz,[40928]
6125,Lucia Graves,"[1232, 4524, 9529]"
6126,Lucille Colandro,[35218]
6127,Lucinda Hawksley,[1970]
6128,Lucius Shepard,"[41089, 47606]"
6129,Lucy Corvino,"[3004, 19347, 38647]"
6130,Lucy Grealy,[8515]
6131,Lucy Monroe,[39913]
6132,Ludovico Ariosto,"[38153, 38154]"
6133,Ludwig Tieck,[23596]
6134,Ludwig Wittgenstein,"[12073, 12075, 12076, 12077, 12081]"
6135,Luigi  Barzini,[19563]
6136,Luigi Barzini,[19560]
6137,Luigi Pirandello,"[12113, 12114, 12116, 12117, 12118, 12120, 12122, 32413]"
6138,Luis Domènech,[15397]
6139,Luis López Nieves,[45992]
6140,Luis Martínez de Merlo,[45670]
6141,Luis Murillo,[43817]
6142,Luis Sepúlveda,"[8797, 44018, 44022]"
6143,Luis Vélez de Guevara,[31004]
6144,Luise von Flotow,[43988]
6145,Luke Buckles,[10288]
6146,Luke Davies,[29488]
6147,Luke Welling,[40540]
6148,Luís Fernando Veríssimo,[44039]
6149,Lydia Davis,"[12749, 18803]"
6150,Lyle Wesley Dorsett,[30626]
6151,Lyman L. Johnson,"[31160, 38826]"
6152,Lyman S. Spitzer Jr.,[34015]
6153,Lyn Hamilton,[47154]
6154,Lyn Macdonald,[43548]
6155,Lyn Moir,[44148]
6156,Lynd Ward,[18860]
6157,Lynda Barry,[29011]
6158,Lynda Curnyn,"[33723, 37750]"
6159,Lynda La Plante,"[12478, 21725]"
6160,Lynda Madison,[21089]
6161,Lynda Milligan,"[42162, 42811]"
6162,Lynda S. Robinson,[32144]
6163,Lynn Balzer,[29227]
6164,Lynn Keller,"[23265, 23265]"
6165,Lynn Kurland,[17054]
6166,Lynn Setzer,[33008]
6167,Lynn Sharon Schwartz,[19090]
6168,Lynn Stegner,[10804]
6169,Lynn Sweat,"[14473, 14475, 14476, 14477, 14479]"
6170,Lynn Willis,"[33489, 33491, 33497, 36877]"
6171,Lynne Ann DeSpelder,[2228]
6172,Lynne Avril Cravath,[36268]
6173,Lynne Edwards,[22265]
6174,Lynne Rae Perkins,[43475]
6175,Lynne Sharon Schwartz,[19090]
6176,Lynne Tillman,[28639]
6177,Lynne Truss,"[8598, 8600, 8601, 31745]"
6178,Lynnette Khalfani,[22197]
6179,Lynsay Sands,"[30268, 38529, 38548, 38562, 38568, 39396, 39397, 39398, 39399, 39400, 39401, 39402, 39403]"
6180,Lysander Kemp,"[11702, 11705]"
6181,Lytton,[888]
6182,Léa Silhol,[20001]
6183,López,"[16987, 22060, 22061]"
6184,M. Diane Vogt,[33672]
6185,M. James Sawyer,[27445]
6186,M. John Harrison,[17735]
6187,M. Sarah Klise,[23404]
6188,M. Scott Peck,"[4451, 4454]"
6189,M. Voloshin,[38399]
6190,M. Weatherall,[33411]
6191,M.A. Harvey,[24191]
6192,M.A. Screech,"[18266, 30735, 30739]"
6193,M.C. Beaton,"[8856, 8857, 8858, 8859, 8861, 14107, 17248, 18442, 18448, 24127, 27747]"
6194,M.H. Abrams,"[47163, 47164, 47168, 47174]"
6195,M.J. Lempert,[33491]
6196,M.J. Levett,[9462]
6197,M.J. Rose,[33672]
6198,M.J. Trow,[29390]
6199,M.L. West,[27418]
6200,M.M. Kaye,"[10215, 10216, 10217, 10219, 10220, 10221, 10222, 10224, 10231]"
6201,M.P. Silverman,[38399]
6202,M.T. Anderson,[37365]
6203,Mabel Esther Allan,"[3146, 3150, 3153, 3154, 3155, 3156, 3645]"
6204,Mabel Lee,[45961]
6205,Mac L. Ricketts,[28026]
6206,Machado de Assis,[40029]
6207,Mack Reynolds,[21624]
6208,Madeleine B. Stern,[2989]
6209,Madeleine Brehaut,[33919]
6210,Madeleine Brent,"[3751, 19495, 19498, 21111, 21114, 21116]"
6211,Madeleine L'Engle,"[181, 201, 2811, 2813, 2814, 2817, 2819, 7619, 11837, 11838, 11843, 14358, 18131, 24761]"
6212,Madga Bogin,[9330]
6213,Madonna J. Hettinger,[33581]
6214,Maehler,[13337]
6215,Maeve Binchy,"[5196, 10895, 31548, 33874, 34295, 34296, 34298, 34299, 34301, 34303, 34306, 34307, 34308, 34310, 34312, 41951, 41952, 41958, 41962, 41967, 41968, 41977, 41979, 41987, 41991]"
6216,Magda Bogin,"[9328, 9335]"
6217,Magda Botin,[9327]
6218,Maggie Black,[31670]
6219,Maggie Furey,[46612]
6220,Maggie Gee,[33464]
6221,Maggie Lew,[37979]
6222,Maggie Shayne,"[30280, 35352]"
6223,Maggie Soboil,[17101]
6224,Magner,[40951]
6225,Magnus J. Kruyski,[10206]
6226,Magnus Magnusson,"[14264, 14265, 14266, 14268]"
6227,Mahatma Gandhi,[30475]
6228,Maile Meloy,[17671]
6229,Maire Jaanus,[4940]
6230,Maja Ueberle,[15948]
6231,Maki Murakami,[17807]
6232,Makoto Inoue,[26425]
6233,Malachy McCourt,[23293]
6234,Malcolm Barber,[31076]
6235,Malcolm Bowie,[2175]
6236,Malcolm Cowley,[18790]
6237,Malcolm Gladwell,"[2140, 2143, 2612, 2613, 9356, 40102]"
6238,Malcolm Godwin,[31082]
6239,Malcolm Heath,[13270]
6240,Malcolm Jones III,"[23753, 23754, 25099, 25100, 25101]"
6241,Malcolm Lowry,[31072]
6242,Malcolm Margolin,[23984]
6243,Malcolm Muggeridge,[31079]
6244,Malcolm Pasley,[46240]
6245,Malcolm Schofield,"[9462, 13422]"
6246,Malcolm X,[31067]
6247,Malleczewen,[30590]
6248,Malvina G. Vogel,"[8927, 10562, 30604, 41463]"
6249,Mamie Harmon,[3061]
6250,Mamiko Murakami,[45294]
6251,Mamoru Oshii,[35878]
6252,Manfred Allié,[3312]
6253,Mansur Abdulin,[42652]
6254,Manu,[31853]
6255,Manuel Espín,[22590]
6256,Manuel Komroff,[4933]
6257,Manuel Rivas,"[23089, 23090, 23108, 23112, 23114]"
6258,Manuel Schonhorn,[2942]
6259,Manuel Vasquez,[41812]
6260,Manuel de Lope,[27776]
6261,Manuela Soares,"[20117, 20118]"
6262,Mao Zedong,"[9754, 30475]"
6263,Marc Andreyko,[35047]
6264,Marc Bloch,[9051]
6265,Marc Brown,[1853]
6266,Marc Cashman,[22292]
6267,Marc Cotta Vaz,[35439]
6268,Marc E. Heine,[28768]
6269,Marc Eliot,[35291]
6270,Marc Frey,[23552]
6271,Marc J.  Seifer,[494]
6272,Marc Parent,[46206]
6273,Marc Platt,[10403]
6274,Marc Reisner,[43594]
6275,Marc Romano,"[44147, 44153]"
6276,Marc S. Dubin,[46129]
6277,Marc S. Gerstein,[37525]
6278,Marc Sautet,[31762]
6279,Marc Silvestri,"[22365, 22392]"
6280,Marcel Aymé,[38762]
6281,Marcel Cardillo,[7277]
6282,Marcel Proust,"[9484, 12749, 12753, 12754, 18795, 18796, 18797, 18798, 18799, 18800, 18801, 18802, 18803, 18804, 28385, 28392, 28393, 28395, 28400, 35750, 35751, 44612, 44613, 44815]"
6283,Marcella Hazan,"[19552, 21199, 21200]"
6284,Marcelle Clements,[16641]
6285,Marcelo Covián,[43812]
6286,Marcelo Frusín,"[30206, 43723]"
6287,Marcia Angell,"[5057, 5061]"
6288,Marcia Muller,[32609]
6289,Marcia Thornton Jones,"[19428, 19430, 19432, 19433, 19435, 19436, 19437]"
6290,Marco Polo,[14808]
6291,Marcus Aurelius,[30659]
6292,Marcus Dods,[1684]
6293,Marcus Ingenday,[45765]
6294,Marcus J. Borg,"[40531, 40532]"
6295,Marcus Romer,[33576]
6296,Marcus Tullius Cicero,"[24458, 24459]"
6297,Marcus Weigelt,[18291]
6298,Marcy Kelman,[17294]
6299,Marek Wieczorek,[30542]
6300,Marga Munkelt,[13011]
6301,Margaret  Rose,[10500]
6302,Margaret A. Weiss,[28467]
6303,Margaret A. Weitekamp,[42417]
6304,Margaret Atwood,"[5102, 5104, 9437, 14279, 17123, 17644, 17645, 17646, 17647, 17649, 17650, 17652, 38447, 40205, 41567, 46230, 46755, 46756, 47122, 47126, 47127]"
6305,Margaret Ball,[35148]
6306,Margaret Bloy Graham,[10071]
6307,Margaret Brantley,"[7127, 18488, 31502]"
6308,Margaret Cho,[28356]
6309,Margaret Chodos,[33616]
6310,Margaret Cohen,[19078]
6311,Margaret Crosland,[8499]
6312,Margaret Drabble,"[24605, 33013]"
6313,Margaret Feinberg,[27590]
6314,Margaret George,"[10108, 10114, 10115, 16033]"
6315,Margaret Hodges,[10118]
6316,Margaret Johnson,[944]
6317,Margaret Jull Costa,"[1427, 1430, 1431, 2528, 2529, 2531, 11031, 14542, 44039, 45973, 47667]"
6318,Margaret L. Lial,[47189]
6319,Margaret M. Scariano,[2299]
6320,Margaret MacMillan,[26348]
6321,Margaret Mahy,[13832]
6322,Margaret Maron,[32978]
6323,Margaret Mauldon,"[2175, 14684]"
6324,Margaret Mitchell,[18405]
6325,Margaret Peterson Haddix,[26092]
6326,Margaret Sanborn,[37766]
6327,Margaret Sayers Peden,"[3290, 3300, 3304, 5207, 8797, 11022, 11704, 16527, 16532, 16562, 24796, 38787]"
6328,Margaret Shepherd,[15022]
6329,Margaret Sidney,"[7911, 7914]"
6330,Margaret Simpson,[10081]
6331,Margaret Smith,[30323]
6332,Margaret Storey,[24504]
6333,Margaret Thaler Singer,[27601]
6334,Margaret Truman,"[2283, 2285, 6286]"
6335,Margaret Weis,"[1307, 5372, 23453, 23454, 26576, 28271, 28272, 28465, 28468, 28470, 28471, 28480, 28481, 28482, 28483, 28484, 28485, 28488, 28505, 28507, 28510, 28511, 28514, 28522, 28524, 28529, 28530, 28531, 28532, 28533, 28534, 28536, 28538, 28539, 28540, 29118, 29119, 29160, 29161, 29164, 29167, 29170, 29173, 29174, 29175, 29177, 29182, 29184, 29185, 29187]"
6336,Margaret Weiss,[28466]
6337,Margaret Wise Brown,"[32929, 32936]"
6338,Margareta Strömstedt,[42322]
6339,Margarita Ardanaz,[19279]
6340,Margarita E. Valdes,[45607]
6341,Margarita Guerrero,[16568]
6342,Margery Clark,[8062]
6343,Margery Facklam,[23186]
6344,Margo Culley,[17724]
6345,Margo Daly,[15273]
6346,Margo Glantz,"[38786, 38792]"
6347,Margo Maine,"[11176, 11178]"
6348,Margot Adler,[12724]
6349,Margot Norris,[23290]
6350,Margot Paronis,[13662]
6351,Margot Patterson Doss,[8203]
6352,Margot Theis Raven,[24119]
6353,Marguerite Duras,"[275, 278, 280, 281, 283, 11926, 11963, 20420, 20422, 20423, 40464]"
6354,Marguerite Henry,"[17461, 17466]"
6355,Marguerite Krause,"[38717, 47530]"
6356,Marguerite Van Cook,[36679]
6357,Marguerite Yourcenar,[12172]
6358,Mari Mancusi,"[38564, 39346, 39347]"
6359,Maria,[9964]
6360,Maria  Alexander,[38717]
6361,Maria Antonia Garcés,[29058]
6362,Maria Boulding,[1681]
6363,Maria Buitoni Duca,[8921]
6364,Maria Celia Paoli,[43111]
6365,Maria Coffey,[30214]
6366,Maria Friedman,[19784]
6367,Maria Jolas,[13269]
6368,Maria José de Lancastre,[45973]
6369,Maria K. Bachman,[5893]
6370,Maria Miles,[18137]
6371,Maria Shriver,[46195]
6372,Maria Skobtsova,[5694]
6373,Maria Tatar,[22914]
6374,Maria Teresa Marenco,[11570]
6375,Maria Tucci,[6925]
6376,Maria V. Snyder,[46202]
6377,Maria Via,[21672]
6378,Marian Eide,[7590]
6379,Marian Keyes,"[9298, 9299, 9300, 9301, 9303, 9304, 9305, 10895, 22716, 22718, 22724, 22725, 22726, 22727, 22729, 22733, 22736, 22739, 22741, 22742, 22743, 22745, 22747, 22748, 22750, 22751, 33723, 42741]"
6380,Marianna Mayer,"[6441, 29026]"
6381,Marianne Moore,[31253]
6382,Marianne Sturman,"[154, 3842]"
6383,Marianne Véron,[14131]
6384,Marianne Williams,[27368]
6385,Marianne Williamson,[39849]
6386,Mariano Antolín Rato,"[4021, 26013]"
6387,Marie,"[4997, 8704, 33247, 38717]"
6388,Marie Duff,[12999]
6389,Marie Kalil,[1954]
6390,Marie MacDonald,"[5174, 7199]"
6391,Marie Martin,[7684]
6392,Marie McSwigan,[34601]
6393,Marie Milpois,[10629]
